phs,pht,phv,n,count_available
phs000007,pht003094,phv00177516,3738,True
phs000007,pht003094,phv00177565,3707,True
phs000007,pht004814,phv00250838,387,True
phs000007,pht004814,phv00251049,388,True
phs000007,pht004814,phv00251235,372,True
phs000007,pht004814,phv00251236,375,True
phs000007,pht004815,phv00251510,284,True
phs000007,pht004815,phv00251703,277,True
phs000007,pht005140,phv00254260,2666,True
phs000007,pht005140,phv00254489,2606,True
phs000007,pht005141,phv00254754,213,True
phs000007,pht005142,phv00255145,135,True
phs000007,pht006005,phv00274028,100,True
phs000007,pht006005,phv00274119,101,True
phs000007,pht006005,phv00274120,100,True
phs000007,pht006005,phv00274121,100,True
phs000007,pht006007,phv00274870,87,True
phs000007,pht006008,phv00275228,36,True
phs000007,pht006018,phv00276870,1092,True
phs000007,pht000009,phv00000789,4213,True
phs000007,pht002889,phv00172197,2794,True
phs000007,pht004802,phv00227044,2493,True
phs000007,pht000009,phv00000680,4407,True
phs000007,pht000009,phv00177936,8603,True
phs000007,pht000009,phv00000539,5073,True
phs000007,pht000009,phv00177930,15089,True
phs000007,pht000009,phv00000744,4296,True
phs000007,pht000009,phv00177938,8169,True
phs000007,pht000012,phv00001367,2798,True
phs000007,pht000012,phv00177948,4936,True
phs000007,pht000013,phv00001564,1614,True
phs000007,pht000013,phv00177950,2852,True
phs000007,pht000014,phv00001808,3128,True
phs000007,pht000014,phv00177952,3138,True
phs000007,pht000015,phv00002023,3004,True
phs000007,pht000015,phv00177954,3011,True
phs000007,pht000016,phv00002207,2707,True
phs000007,pht000017,phv00002428,2421,True
phs000007,pht000018,phv00002671,2191,True
phs000007,pht000018,phv00177960,2236,True
phs000007,pht000019,phv00003245,1923,True
phs000007,pht000019,phv00177962,2064,True
phs000007,pht000020,phv00003303,1631,True
phs000007,pht000020,phv00177964,1723,True
phs000007,pht000021,phv00003669,1358,True
phs000007,pht000021,phv00177966,1440,True
phs000007,pht000022,phv00004085,1163,True
phs000007,pht000022,phv00177968,1301,True
phs000007,pht000023,phv00004527,1019,True
phs000007,pht000023,phv00177970,1210,True
phs000007,pht000024,phv00005542,863,True
phs000007,pht000024,phv00177976,713,True
phs000007,pht000025,phv00005922,747,True
phs000007,pht000025,phv00177974,913,True
phs000007,pht000026,phv00006034,566,True
phs000007,pht000026,phv00177976,713,True
phs000007,pht000027,phv00006329,490,True
phs000007,pht000027,phv00177978,671,True
phs000007,pht000028,phv00006673,325,True
phs000007,pht000028,phv00177980,542,True
phs000007,pht000029,phv00007101,213,True
phs000007,pht000029,phv00177982,411,True
phs000007,pht000030,phv00007570,4978,True
phs000007,pht000031,phv00007677,3743,True
phs000007,pht000031,phv00007679,3743,True
phs000007,pht000032,phv00008714,3710,True
phs000007,pht000033,phv00008763,3873,True
phs000007,pht000033,phv00177936,8603,True
phs000007,pht000034,phv00009553,3653,True
phs000007,pht000034,phv00177938,8169,True
phs000007,pht000035,phv00010109,3355,True
phs000007,pht000035,phv00177940,7541,True
